Date,Sales
2023-01-01,195
2023-01-02,160
2023-01-03,205
2023-01-04,170
2023-01-05,247
2023-01-06,162
2023-01-07,205
2023-01-08,189
2023-01-09,172
2023-01-10,216
2023-01-11,201
2023-01-12,211
2023-01-13,278
2023-01-14,191
2023-01-15,206
2023-01-16,187
2023-01-17,152
2023-01-18,194
2023-01-19,163
2023-01-20,204
2023-01-21,232
2023-01-22,213
2023-01-23,214
2023-01-24,140
2023-01-25,235
2023-01-26,157
2023-01-27,173
2023-01-28,230
2023-01-29,210
2023-01-30,188
2023-01-31,160
2023-02-01,202
2023-02-02,181
2023-02-03,223
2023-02-04,199
2023-02-05,193
2023-02-06,241
2023-02-07,180
2023-02-08,220
2023-02-09,214
2023-02-10,200
2023-02-11,166
2023-02-12,257
2023-02-13,208
2023-02-14,195
2023-02-15,227
2023-02-16,181
2023-02-17,219
2023-02-18,212
2023-02-19,231
2023-02-20,229
2023-02-21,220
2023-02-22,236
2023-02-23,215
2023-02-24,212
2023-02-25,212
2023-02-26,155
2023-02-27,179
2023-02-28,215
2023-03-01,228
2023-03-02,199
2023-03-03,207
2023-03-04,206
2023-03-05,231
2023-03-06,216
2023-03-07,201
2023-03-08,193
2023-03-09,208
2023-03-10,159
2023-03-11,210
2023-03-12,226
2023-03-13,194
2023-03-14,256
2023-03-15,144
2023-03-16,202
2023-03-17,143
2023-03-18,199
2023-03-19,185
2023-03-20,188
2023-03-21,199
2023-03-22,212
2023-03-23,224
2023-03-24,208
2023-03-25,238
2023-03-26,241
2023-03-27,186
2023-03-28,200
2023-03-29,206
2023-03-30,266
2023-03-31,254
2023-04-01,190
2023-04-02,177
2023-04-03,208
2023-04-04,184
2023-04-05,204
2023-04-06,210
2023-04-07,175
2023-04-08,183
2023-04-09,185
2023-04-10,152
2023-04-11,246
2023-04-12,189
2023-04-13,229
2023-04-14,191
2023-04-15,216
2023-04-16,187
2023-04-17,217
2023-04-18,188
2023-04-19,175
2023-04-20,176
2023-04-21,153
2023-04-22,151
2023-04-23,149
2023-04-24,144
2023-04-25,128
2023-04-26,202
2023-04-27,233
2023-04-28,225
2023-04-29,196
2023-04-30,227
2023-05-01,248
2023-05-02,166
2023-05-03,222
2023-05-04,210
2023-05-05,183
2023-05-06,189
2023-05-07,218
2023-05-08,182
2023-05-09,206
2023-05-10,180
2023-05-11,177
2023-05-12,238
2023-05-13,158
2023-05-14,240
2023-05-15,179
2023-05-16,159
2023-05-17,171
2023-05-18,174
2023-05-19,239
2023-05-20,163
2023-05-21,205
2023-05-22,144
2023-05-23,221
2023-05-24,211
2023-05-25,175
2023-05-26,204
2023-05-27,134
2023-05-28,190
2023-05-29,206
2023-05-30,196
2023-05-31,186
2023-06-01,175
2023-06-02,186
2023-06-03,207
2023-06-04,148
2023-06-05,142
2023-06-06,181
2023-06-07,180
2023-06-08,218
2023-06-09,233
2023-06-10,214
2023-06-11,149
2023-06-12,211
2023-06-13,237
2023-06-14,187
2023-06-15,196
2023-06-16,186
2023-06-17,189
2023-06-18,180
2023-06-19,285
2023-06-20,200
2023-06-21,221
2023-06-22,190
2023-06-23,180
2023-06-24,187
2023-06-25,235
2023-06-26,222
2023-06-27,171
2023-06-28,205
2023-06-29,204
